# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.706125 eV
#    Energy (eV)      DOS 
        -10.47546543          0.00000000
        -10.46646093          0.00000000
        -10.45745643          0.00000000
        -10.44845193          0.00000000
        -10.43944742          0.00000000
        -10.43044292          0.00000000
        -10.42143842          0.00000000
        -10.41243392          0.00000000
        -10.40342942          0.00000000
        -10.39442491          0.00000000
        -10.38542041          0.00000000
        -10.37641591          0.00000000
        -10.36741141          0.00000000
        -10.35840690          0.00000000
        -10.34940240          0.00000000
        -10.34039790          0.00000000
        -10.33139340          0.00000000
        -10.32238890          0.00000000
        -10.31338439          0.00000000
        -10.30437989          0.00000000
        -10.29537539          0.00000000
        -10.28637089          0.00000000
        -10.27736638          0.00000000
        -10.26836188          0.00000000
        -10.25935738          0.00000000
        -10.25035288          0.00000000
        -10.24134837          0.00000000
        -10.23234387          0.00031399
        -10.22333937          0.00307424
        -10.21433487          0.00868102
        -10.20533037          0.01713433
        -10.19632586          0.02843416
        -10.18732136          0.04258053
        -10.17831686          0.05891521
        -10.16931236          0.07459062
        -10.16030785          0.08738641
        -10.15130335          0.09730281
        -10.14229885          0.10433983
        -10.13329435          0.10849747
        -10.12428985          0.11039762
        -10.11528534          0.11189260
        -10.10628084          0.11423056
        -10.09727634          0.11764576
        -10.08827184          0.12213821
        -10.07926733          0.12770789
        -10.07026283          0.13429502
        -10.06125833          0.14121914
        -10.05225383          0.14828823
        -10.04324933          0.15550229
        -10.03424482          0.16269184
        -10.02524032          0.16951152
        -10.01623582          0.17595121
        -10.00723132          0.18195589
         -9.99822681          0.18695299
         -9.98922231          0.19080043
         -9.98021781          0.19412800
         -9.97121331          0.19730955
         -9.96220880          0.20038566
         -9.95320430          0.20347356
         -9.94419980          0.20667264
         -9.93519530          0.21037254
         -9.92619080          0.21435163
         -9.91718629          0.21853543
         -9.90818179          0.22293210
         -9.89917729          0.22743021
         -9.89017279          0.23191387
         -9.88116828          0.23638308
         -9.87216378          0.24083785
         -9.86315928          0.24527817
         -9.85415478          0.24970403
         -9.84515028          0.25411545
         -9.83614577          0.25865280
         -9.82714127          0.26348023
         -9.81813677          0.26859800
         -9.80913227          0.27400610
         -9.80012776          0.27964191
         -9.79112326          0.28527474
         -9.78211876          0.29081515
         -9.77311426          0.29614155
         -9.76410976          0.30127714
         -9.75510525          0.30636281
         -9.74610075          0.31130843
         -9.73709625          0.31603717
         -9.72809175          0.32053860
         -9.71908724          0.32483966
         -9.71008274          0.32902561
         -9.70107824          0.33309519
         -9.69207374          0.33707102
         -9.68306924          0.34111897
         -9.67406473          0.34527238
         -9.66506023          0.34953124
         -9.65605573          0.35383895
         -9.64705123          0.35811431
         -9.63804672          0.36276925
         -9.62904222          0.36823607
         -9.62003772          0.37422319
         -9.61103322          0.38035968
         -9.60202871          0.38664374
         -9.59302421          0.39301183
         -9.58401971          0.39925792
         -9.57501521          0.40536783
         -9.56601071          0.41136949
         -9.55700620          0.41739792
         -9.54800170          0.42347098
         -9.53899720          0.42958865
         -9.52999270          0.43575094
         -9.52098819          0.44195784
         -9.51198369          0.44812634
         -9.50297919          0.45433217
         -9.49397469          0.46059629
         -9.48497019          0.46693817
         -9.47596568          0.47306268
         -9.46696118          0.47915705
         -9.45795668          0.48542168
         -9.44895218          0.49216522
         -9.43994767          0.49944558
         -9.43094317          0.50724964
         -9.42193867          0.51548665
         -9.41293417          0.52390733
         -9.40392967          0.53245612
         -9.39492516          0.54114363
         -9.38592066          0.54994034
         -9.37691616          0.55871130
         -9.36791166          0.56737084
         -9.35890715          0.57590623
         -9.34990265          0.58431879
         -9.34089815          0.59272179
         -9.33189365          0.60115462
         -9.32288915          0.60961726
         -9.31388464          0.61811039
         -9.30488014          0.62664776
         -9.29587564          0.63523480
         -9.28687114          0.64394213
         -9.27786663          0.65635239
         -9.26886213          0.66941741
         -9.25985763          0.68282556
         -9.25085313          0.69656991
         -9.24184862          0.71064777
         -9.23284412          0.72452631
         -9.22383962          0.73728812
         -9.21483512          0.74988924
         -9.20583062          0.76263902
         -9.19682611          0.77559829
         -9.18782161          0.78875272
         -9.17881711          0.80204960
         -9.16981261          0.81573026
         -9.16080810          0.83102162
         -9.15180360          0.84909864
         -9.14279910          0.86953155
         -9.13379460          0.89218003
         -9.12479010          0.91692734
         -9.11578559          0.94356269
         -9.10678109          0.97135606
         -9.09777659          0.99983780
         -9.08877209          1.02751247
         -9.07976758          1.05779369
         -9.07076308          1.08916478
         -9.06175858          1.12390886
         -9.05275408          1.17030135
         -9.04374958          1.21892239
         -9.03474507          1.26919099
         -9.02574057          1.32149188
         -9.01673607          1.37694927
         -9.00773157          1.44403452
         -8.99872706          1.52246541
         -8.98972256          1.62635152
         -8.98071806          1.86710094
         -8.97171356          2.12099535
         -8.96270906          2.39969718
         -8.95370455          2.53924179
         -8.94470005          2.61572058
         -8.93569555          2.64941007
         -8.92669105          2.59317144
         -8.91768654          2.52181811
         -8.90868204          2.43459670
         -8.89967754          2.32180550
         -8.89067304          2.26778660
         -8.88166853          2.22776152
         -8.87266403          2.19541553
         -8.86365953          2.16182025
         -8.85465503          2.12182047
         -8.84565053          2.08374656
         -8.83664602          2.04559990
         -8.82764152          2.00507687
         -8.81863702          1.95844587
         -8.80963252          1.90870583
         -8.80062801          1.86008507
         -8.79162351          1.81355504
         -8.78261901          1.76677560
         -8.77361451          1.72173541
         -8.76461001          1.67657179
         -8.75560550          1.64875418
         -8.74660100          1.62487100
         -8.73759650          1.59593337
         -8.72859200          1.55743690
         -8.71958749          1.51812649
         -8.71058299          1.48701006
         -8.70157849          1.45888227
         -8.69257399          1.43103347
         -8.68356949          1.40321933
         -8.67456498          1.37700401
         -8.66556048          1.35293154
         -8.65655598          1.33084199
         -8.64755148          1.31106351
         -8.63854697          1.29399935
         -8.62954247          1.27904825
         -8.62053797          1.26584357
